,State,Year,Quarter,Brands,User_Count,User_Percentage
231,andhra-pradesh,2019,1,Xiaomi,2110547,25.480407566371632
232,andhra-pradesh,2019,1,Samsung,1688342,20.38317188455079
233,andhra-pradesh,2019,1,Vivo,1262871,15.246506135021543
234,andhra-pradesh,2019,1,Oppo,835541,10.087396877877499
235,andhra-pradesh,2019,1,Realme,564832,6.8191561555032045
236,andhra-pradesh,2019,1,Motorola,291830,3.523232290062355
237,andhra-pradesh,2019,1,Apple,241108,2.910871024200234
238,andhra-pradesh,2019,1,OnePlus,237269,2.8645231889483775
239,andhra-pradesh,2019,1,Huawei,220082,2.6570263813230417
240,andhra-pradesh,2019,1,Lenovo,171471,2.070150992047706
241,andhra-pradesh,2019,1,Others,659126,7.957557504093617
242,andhra-pradesh,2019,2,Xiaomi,2389374,25.448644547243195
243,andhra-pradesh,2019,2,Samsung,1914378,20.38957704028852
244,andhra-pradesh,2019,2,Vivo,1466695,15.621413690037164
245,andhra-pradesh,2019,2,Oppo,963352,10.260429142476577
246,andhra-pradesh,2019,2,Realme,641519,6.83266370241867
247,andhra-pradesh,2019,2,Motorola,324778,3.459131922739827
248,andhra-pradesh,2019,2,Apple,264860,2.820959797328854
249,andhra-pradesh,2019,2,OnePlus,254273,2.7082002210458342
250,andhra-pradesh,2019,2,Huawei,250859,2.6718385328026844
251,andhra-pradesh,2019,2,Lenovo,189151,2.0146015503456542
252,andhra-pradesh,2019,2,Others,729764,7.7725398532730265
253,andhra-pradesh,2019,3,Xiaomi,2656468,25.399617332682013
254,andhra-pradesh,2019,3,Samsung,2123659,20.305204483963724
255,andhra-pradesh,2019,3,Vivo,1674109,16.00686624992243
256,andhra-pradesh,2019,3,Oppo,1087660,10.399578608914135
257,andhra-pradesh,2019,3,Realme,727964,6.96037258192778
258,andhra-pradesh,2019,3,Motorola,348910,3.336076505926697
259,andhra-pradesh,2019,3,Apple,286412,2.738506618370001
260,andhra-pradesh,2019,3,Huawei,282587,2.701934170933213
261,andhra-pradesh,2019,3,OnePlus,271100,2.592102091532852
262,andhra-pradesh,2019,3,Lenovo,194180,1.8566373446471753
263,andhra-pradesh,2019,3,Others,805644,7.703104011179981
264,andhra-pradesh,2019,4,Xiaomi,2985953,25.395328393725297
265,andhra-pradesh,2019,4,Samsung,2379139,20.23441634858928
266,andhra-pradesh,2019,4,Vivo,1922141,16.347679254845453
267,andhra-pradesh,2019,4,Oppo,1241235,10.556619758846043
268,andhra-pradesh,2019,4,Realme,844668,7.183844234544604
269,andhra-pradesh,2019,4,Motorola,381692,3.246264654955318
270,andhra-pradesh,2019,4,Huawei,317290,2.6985299989802582
271,andhra-pradesh,2019,4,Apple,308354,2.6225299231162618
272,andhra-pradesh,2019,4,OnePlus,286412,2.43591469654869
273,andhra-pradesh,2019,4,Lenovo,208785,1.775702309675985
274,andhra-pradesh,2019,4,Others,882214,7.503170426172807
275,andhra-pradesh,2020,1,Xiaomi,3307542,25.399529721104035
276,andhra-pradesh,2020,1,Samsung,2622762,20.140914724705613
277,andhra-pradesh,2020,1,Vivo,2165012,16.625725883615956
278,andhra-pradesh,2020,1,Oppo,1387060,10.651617332434347
279,andhra-pradesh,2020,1,Realme,960418,7.37531542628432
280,andhra-pradesh,2020,1,Motorola,411062,3.1566587774898904
281,andhra-pradesh,2020,1,Huawei,348324,2.6748763252511507
282,andhra-pradesh,2020,1,Apple,329329,2.529008467170325
283,andhra-pradesh,2020,1,OnePlus,298911,2.2954202330506845
284,andhra-pradesh,2020,1,Lenovo,227154,1.7443783856010493
285,andhra-pradesh,2020,1,Others,964486,7.406554723292628
286,andhra-pradesh,2020,2,Xiaomi,3635594,25.388802469329786
287,andhra-pradesh,2020,2,Samsung,2888149,20.169096016494787
288,andhra-pradesh,2020,2,Vivo,2409399,16.825793881495215
289,andhra-pradesh,2020,2,Oppo,1535129,10.72041788657913
290,andhra-pradesh,2020,2,Realme,1072165,7.487355683700922
291,andhra-pradesh,2020,2,Motorola,445380,3.110266119866547
292,andhra-pradesh,2020,2,Huawei,379220,2.6482444608554316
293,andhra-pradesh,2020,2,Apple,348938,2.4367731809555737
294,andhra-pradesh,2020,2,OnePlus,309208,2.15932274999258
295,andhra-pradesh,2020,2,Lenovo,243288,1.6989771066731612
296,andhra-pradesh,2020,2,Others,1053205,7.354950444056866
297,andhra-pradesh,2020,3,Xiaomi,3978789,25.354870716120313
298,andhra-pradesh,2020,3,Samsung,3154020,20.09902242517957
299,andhra-pradesh,2020,3,Vivo,2687996,17.129280056180043
300,andhra-pradesh,2020,3,Oppo,1695723,10.806010933314555
301,andhra-pradesh,2020,3,Realme,1207622,7.695582671999607
302,andhra-pradesh,2020,3,Motorola,477313,3.041681628787939
303,andhra-pradesh,2020,3,Huawei,408520,2.603297582492932
304,andhra-pradesh,2020,3,Apple,370327,2.359912327014247
305,andhra-pradesh,2020,3,OnePlus,322028,2.052126490490145
306,andhra-pradesh,2020,3,Lenovo,260912,1.662664199655821
307,andhra-pradesh,2020,3,Others,1129155,7.195550968764826
308,andhra-pradesh,2020,4,Xiaomi,4325662,25.33098430509883
309,andhra-pradesh,2020,4,Samsung,3419866,20.026662270778694
310,andhra-pradesh,2020,4,Vivo,2950572,17.278486627726362
311,andhra-pradesh,2020,4,Oppo,1856052,10.869000879275195
312,andhra-pradesh,2020,4,Realme,1361491,7.972862223755187
313,andhra-pradesh,2020,4,Motorola,506158,2.964050439886476
314,andhra-pradesh,2020,4,Huawei,437125,2.55979466596473
315,andhra-pradesh,2020,4,Apple,394191,2.3083740787447593
316,andhra-pradesh,2020,4,OnePlus,336518,1.9706422222502007
317,andhra-pradesh,2020,4,Lenovo,276671,1.6201794681775874
318,andhra-pradesh,2020,4,Others,1212259,7.098962818341979
319,andhra-pradesh,2021,1,Xiaomi,4644641,25.292466406476287
320,andhra-pradesh,2021,1,Samsung,3635596,19.797695817075972
321,andhra-pradesh,2021,1,Vivo,3245151,17.671521362241542
322,andhra-pradesh,2021,1,Oppo,2010506,10.948242386229424
323,andhra-pradesh,2021,1,Realme,1531645,8.34059719774841
324,andhra-pradesh,2021,1,Motorola,518115,2.8214034695451087
325,andhra-pradesh,2021,1,Huawei,455604,2.480998825238855
326,andhra-pradesh,2021,1,Apple,421002,2.2925730841327305
327,andhra-pradesh,2021,1,OnePlus,355922,1.9381789094842536
328,andhra-pradesh,2021,1,Lenovo,277980,1.5137445093543889
329,andhra-pradesh,2021,1,Others,1267571,6.902578032473026
330,andhra-pradesh,2021,2,Xiaomi,4937684,25.165424326757606
331,andhra-pradesh,2021,2,Samsung,3798250,19.358179451967175
332,andhra-pradesh,2021,2,Vivo,3572140,18.205786124544204
333,andhra-pradesh,2021,2,Oppo,2173037,11.075110959458803
334,andhra-pradesh,2021,2,Realme,1817804,9.264628721254192
335,andhra-pradesh,2021,2,Motorola,503072,2.56395920575529
336,andhra-pradesh,2021,2,Apple,450689,2.296983752788161
337,andhra-pradesh,2021,2,Huawei,440324,2.2441574432983598
338,andhra-pradesh,2021,2,OnePlus,394851,2.012399529991099
339,andhra-pradesh,2021,2,Lenovo,261201,1.3312382889576195
340,andhra-pradesh,2021,2,Others,1271853,6.482132195227488
341,andhra-pradesh,2021,3,Xiaomi,5256707,24.9607429247758
342,andhra-pradesh,2021,3,Vivo,3981492,18.905561650868393
343,andhra-pradesh,2021,3,Samsung,3911188,18.571732873540032
344,andhra-pradesh,2021,3,Oppo,2382363,11.312319746277973
345,andhra-pradesh,2021,3,Realme,2134616,10.135927533932025
346,andhra-pradesh,2021,3,Motorola,486971,2.3123141432119
347,andhra-pradesh,2021,3,Apple,480993,2.2839284406790576
348,andhra-pradesh,2021,3,OnePlus,459011,2.1795499674309915
349,andhra-pradesh,2021,3,Huawei,435214,2.0665532188237568
350,andhra-pradesh,2021,3,Lenovo,245241,1.1644928194808921
351,andhra-pradesh,2021,3,Others,1286102,6.106876680979177
352,andhra-pradesh,2021,4,Xiaomi,5518238,24.537466690980743
353,andhra-pradesh,2021,4,Vivo,4381023,19.480712128567223
354,andhra-pradesh,2021,4,Samsung,4017419,17.863905996119264
355,andhra-pradesh,2021,4,Oppo,2580845,11.47601792856419
356,andhra-pradesh,2021,4,Realme,2528884,11.244967490592858
357,andhra-pradesh,2021,4,Apple,544986,2.423341621374582
358,andhra-pradesh,2021,4,OnePlus,525373,2.33613020820063
359,andhra-pradesh,2021,4,Motorola,474422,2.109570848968179
360,andhra-pradesh,2021,4,Huawei,409934,1.822817694796872
361,andhra-pradesh,2021,4,Lenovo,224391,0.9977798507885778
362,andhra-pradesh,2021,4,Others,1283514,5.707289541046881
363,andhra-pradesh,2022,1,Xiaomi,5743382,24.073240824411116
364,andhra-pradesh,2022,1,Vivo,4772765,20.004924144575533
365,andhra-pradesh,2022,1,Samsung,4124296,17.286882683261442
366,andhra-pradesh,2022,1,Realme,2864092,12.00476939532653
367,andhra-pradesh,2022,1,Oppo,2780974,11.656382394280213
368,andhra-pradesh,2022,1,Apple,594003,2.489748595761639
369,andhra-pradesh,2022,1,OnePlus,580737,2.4341444912851067
370,andhra-pradesh,2022,1,Motorola,463652,1.9433856662711733
371,andhra-pradesh,2022,1,Huawei,401477,1.68278072161352
372,andhra-pradesh,2022,1,Lenovo,222586,0.9329636061370064
373,andhra-pradesh,2022,1,Others,1309987,5.49077747707672
374,arunachal-pradesh,2018,1,Xiaomi,5212,24.247499418469413
375,arunachal-pradesh,2018,1,Samsung,4354,20.25587345894394
376,arunachal-pradesh,2018,1,Vivo,3523,16.389858106536405
377,arunachal-pradesh,2018,1,Oppo,2608,12.133054198650848
378,arunachal-pradesh,2018,1,Realme,1297,6.033961386368923
379,arunachal-pradesh,2018,1,Apple,628,2.9216096766689925
380,arunachal-pradesh,2018,1,Gionee,563,2.619213770644336
381,arunachal-pradesh,2018,1,Lenovo,420,1.9539427773900906
382,arunachal-pradesh,2018,1,OnePlus,403,1.8748546173528728
383,arunachal-pradesh,2018,1,Motorola,343,1.5957199348685742
384,arunachal-pradesh,2018,1,Others,2144,9.974412654105606
385,arunachal-pradesh,2018,2,Xiaomi,8058,24.505063406623485
386,arunachal-pradesh,2018,2,Samsung,6633,20.17151719733601
387,arunachal-pradesh,2018,2,Vivo,5591,17.002706565702645
388,arunachal-pradesh,2018,2,Oppo,4204,12.784721588662833
389,arunachal-pradesh,2018,2,Realme,1943,5.90882826992671
390,arunachal-pradesh,2018,2,Apple,869,2.6427029164005718
391,arunachal-pradesh,2018,2,Gionee,730,2.2199920931788464
392,arunachal-pradesh,2018,2,Lenovo,581,1.7668704193656297
393,arunachal-pradesh,2018,2,OnePlus,554,1.684761122768604
394,arunachal-pradesh,2018,2,Motorola,514,1.5631177204026396
395,arunachal-pradesh,2018,2,Others,3206,9.749718699632028
396,arunachal-pradesh,2018,3,Xiaomi,11250,24.498061931100562
397,arunachal-pradesh,2018,3,Samsung,9307,20.266974434911372
398,arunachal-pradesh,2018,3,Vivo,8226,17.91298288402073
399,arunachal-pradesh,2018,3,Oppo,5992,13.048212185880406
