,State,Year,Quarter,District,Registered_User
310,andhra-pradesh,2022,3,krishna district,2685215
311,andhra-pradesh,2022,3,spsr nellore district,1588875
312,andhra-pradesh,2022,3,vizianagaram district,995141
313,andhra-pradesh,2022,3,ysr district,1487140
314,andhra-pradesh,2022,3,west godavari district,1805967
315,andhra-pradesh,2022,3,chittoor district,2517657
316,andhra-pradesh,2022,4,east godavari district,2835087
317,andhra-pradesh,2022,4,srikakulam district,1204785
318,andhra-pradesh,2022,4,visakhapatnam district,3566854
319,andhra-pradesh,2022,4,prakasam district,1642503
320,andhra-pradesh,2022,4,anantapur district,2128066
321,andhra-pradesh,2022,4,kurnool district,2018290
322,andhra-pradesh,2022,4,guntur district,2774365
323,andhra-pradesh,2022,4,krishna district,2813645
324,andhra-pradesh,2022,4,spsr nellore district,1663684
325,andhra-pradesh,2022,4,vizianagaram district,1044490
326,andhra-pradesh,2022,4,ysr district,1556901
327,andhra-pradesh,2022,4,west godavari district,1893310
328,andhra-pradesh,2022,4,chittoor district,2636036
329,andhra-pradesh,2023,1,east godavari district,2965296
330,andhra-pradesh,2023,1,srikakulam district,1263204
331,andhra-pradesh,2023,1,visakhapatnam district,3732544
332,andhra-pradesh,2023,1,prakasam district,1719910
333,andhra-pradesh,2023,1,anantapur district,2228505
334,andhra-pradesh,2023,1,kurnool district,2114023
335,andhra-pradesh,2023,1,guntur district,2900895
336,andhra-pradesh,2023,1,krishna district,2941585
337,andhra-pradesh,2023,1,spsr nellore district,1740294
338,andhra-pradesh,2023,1,vizianagaram district,1094782
339,andhra-pradesh,2023,1,ysr district,1628595
340,andhra-pradesh,2023,1,west godavari district,1980446
341,andhra-pradesh,2023,1,chittoor district,2755784
342,andhra-pradesh,2023,2,east godavari district,3082893
343,andhra-pradesh,2023,2,srikakulam district,1317771
344,andhra-pradesh,2023,2,visakhapatnam district,3877504
345,andhra-pradesh,2023,2,prakasam district,1792637
346,andhra-pradesh,2023,2,anantapur district,2323796
347,andhra-pradesh,2023,2,kurnool district,2202517
348,andhra-pradesh,2023,2,guntur district,3014655
349,andhra-pradesh,2023,2,krishna district,3054956
350,andhra-pradesh,2023,2,spsr nellore district,1811781
351,andhra-pradesh,2023,2,vizianagaram district,1141578
352,andhra-pradesh,2023,2,ysr district,1694843
353,andhra-pradesh,2023,2,west godavari district,2059880
354,andhra-pradesh,2023,2,chittoor district,2865250
355,andhra-pradesh,2023,3,east godavari district,3211557
356,andhra-pradesh,2023,3,srikakulam district,1375950
357,andhra-pradesh,2023,3,visakhapatnam district,4035323
358,andhra-pradesh,2023,3,prakasam district,1868997
359,andhra-pradesh,2023,3,anantapur district,2421293
360,andhra-pradesh,2023,3,kurnool district,2295754
361,andhra-pradesh,2023,3,guntur district,3137289
362,andhra-pradesh,2023,3,krishna district,3177643
363,andhra-pradesh,2023,3,spsr nellore district,1887005
364,andhra-pradesh,2023,3,vizianagaram district,1190571
365,andhra-pradesh,2023,3,ysr district,1764648
366,andhra-pradesh,2023,3,west godavari district,2146530
367,andhra-pradesh,2023,3,chittoor district,2981337
368,arunachal-pradesh,2018,1,lower subansiri district,498
369,arunachal-pradesh,2018,1,tirap district,557
370,arunachal-pradesh,2018,1,papum pare district,7649
371,arunachal-pradesh,2018,1,anjaw district,278
372,arunachal-pradesh,2018,1,lower siang district,270
373,arunachal-pradesh,2018,1,dibang valley district,66
374,arunachal-pradesh,2018,1,west kameng district,2202
375,arunachal-pradesh,2018,1,shi yomi district,49
376,arunachal-pradesh,2018,1,east kameng district,222
377,arunachal-pradesh,2018,1,lohit district,1207
378,arunachal-pradesh,2018,1,lepa rada district,210
379,arunachal-pradesh,2018,1,lower dibang valley district,601
380,arunachal-pradesh,2018,1,longding district,256
381,arunachal-pradesh,2018,1,west siang district,846
382,arunachal-pradesh,2018,1,kamle district,22
383,arunachal-pradesh,2018,1,upper siang district,301
384,arunachal-pradesh,2018,1,kurung kumey district,97
385,arunachal-pradesh,2018,1,siang district,192
386,arunachal-pradesh,2018,1,kra daadi district,88
387,arunachal-pradesh,2018,1,changlang district,1208
388,arunachal-pradesh,2018,1,pakke kessang district,39
389,arunachal-pradesh,2018,1,east siang district,1803
390,arunachal-pradesh,2018,1,upper subansiri district,572
391,arunachal-pradesh,2018,1,tawang district,1525
392,arunachal-pradesh,2018,1,namsai district,737
393,arunachal-pradesh,2018,2,lower subansiri district,724
394,arunachal-pradesh,2018,2,tirap district,856
395,arunachal-pradesh,2018,2,papum pare district,11418
396,arunachal-pradesh,2018,2,anjaw district,410
397,arunachal-pradesh,2018,2,lower siang district,494
398,arunachal-pradesh,2018,2,dibang valley district,112
